co,no,no2,o3,so2,pm2_5,pm10,nh3,pm2_5_7day_avg,extreme_pm2_5,hazardous_pm25,hazardous_day,above_threshold,consecutive_breach_days,severity_zone,severity_score,lung_stress_score,breach,cumulative_pm25_burden
3471.0975,59.05041666666667,49.68833333333333,31.24083333333333,63.071666666666665,181.8708333333333,268.08958333333334,34.62,100.42,True,True,True,True,42,Severe Injury Risk,3,10.5084,True,146015.53014492764
2981.543333333333,48.1225,55.615,28.075416666666666,64.75,161.1,237.21833333333333,32.145,118.41827380952381,True,True,True,True,43,Severe Injury Risk,3,11.368365476190476,True,146176.63014492765
861.5841666666666,4.7387500000000005,26.27625,56.81791666666667,24.354166666666668,42.08541666666667,78.15958333333333,16.28708333333333,121.18339285714286,True,True,False,True,44,Mild Stress,1,7.923667857142857,True,146218.71556159432
477.03666666666663,0.9041666666666667,17.414583333333333,65.74375,18.199583333333333,18.082916666666666,35.135416666666664,11.923333333333332,118.50559523809525,True,True,False,False,45,Safe,0,2.370111904761905,True,146236.798478261
965.7541666666666,3.11,37.935,62.79125,36.47708333333333,45.695,77.96416666666667,19.120833333333334,110.81440476190475,True,True,False,True,46,Mild Stress,1,4.716288095238095,True,146282.493478261
1640.5595833333334,12.0175,48.88125,58.040416666666665,59.742916666666666,97.41708333333334,157.93625,27.74875,93.58029761904763,True,True,True,True,47,High Stress,2,6.8716059523809525,True,146379.91056159433
2880.0166666666664,43.01083333333333,49.30916666666667,64.83958333333334,71.76416666666667,179.29541666666668,265.20666666666665,35.2325,103.6495238095238,True,True,True,True,48,Severe Injury Risk,3,9.572990476190476,True,146559.205978261
3453.5733333333337,45.000416666666666,64.95416666666667,102.88291666666667,98.76583333333333,255.23333333333335,331.7391666666667,36.905833333333334,114.12988095238097,True,True,True,True,49,Severe Injury Risk,3,10.28259761904762,True,146814.43931159432
1256.705,2.0004166666666667,49.625,123.91083333333334,91.11583333333334,120.40499999999999,135.92333333333332,12.44375,108.31630952380954,True,True,True,True,50,High Stress,2,8.666326190476191,True,146934.84431159432
1433.6116666666667,3.7841666666666662,59.26333333333333,76.04541666666667,83.36708333333333,109.32125,129.47208333333333,14.469583333333333,117.92142857142858,True,True,True,True,51,High Stress,2,9.358428571428572,True,147044.16556159433
1077.5729166666667,3.9891666666666663,44.25458333333333,68.44833333333334,66.28083333333333,60.56333333333333,77.405,14.104166666666666,123.99005952380955,True,True,True,True,52,High Stress,2,9.979801190476191,True,147104.72889492766
1195.5091666666667,9.150833333333333,47.25375,39.28333333333334,66.39958333333333,57.01125,77.91208333333334,17.297083333333333,125.60666666666667,True,True,False,True,53,Mild Stress,1,8.512133333333333,True,147161.74014492767
662.28625,5.022083333333334,33.444583333333334,34.42458333333334,59.00875,26.432083333333335,36.39,10.273333333333333,115.4659523809524,True,True,False,True,54,Mild Stress,1,8.809319047619049,True,147188.172228261
617.7816666666666,2.25625,34.745,24.25125,57.79541666666666,23.185000000000002,29.64375,5.87625,93.1644642857143,True,True,False,False,55,Safe,0,1.863289285714286,True,147211.357228261
909.8454166666667,5.9925,40.814166666666665,11.240833333333333,63.99541666666667,40.044999999999995,49.97625,6.294583333333333,62.42327380952382,True,True,False,True,56,Mild Stress,1,3.7484654761904763,True,147251.40222826102
2361.8141666666666,35.84708333333334,53.96541666666667,23.560833333333335,58.193333333333335,125.51208333333334,164.20250000000001,13.998333333333333,63.15285714285715,True,True,True,True,57,High Stress,2,6.263057142857143,True,147376.91431159436
1353.2237499999999,2.4229166666666666,41.82083333333333,50.374583333333334,33.09875,105.00166666666667,168.26958333333334,13.883333333333333,62.535773809523825,True,True,True,True,58,High Stress,2,6.750715476190477,True,147481.91597826104
2695.6004166666667,16.730416666666667,62.77666666666667,65.23541666666667,55.01541666666666,254.1975,327.65833333333336,17.81,90.19779761904762,True,True,True,True,59,Severe Injury Risk,3,9.803955952380953,True,147736.11347826105
2634.1283333333336,20.586250000000003,56.77125,103.42833333333334,76.59333333333333,286.9941666666667,363.3733333333333,19.545416666666664,123.05250000000001,True,True,True,True,60,Severe Injury Risk,3,10.96105,True,148023.10764492772
2287.54625,16.877083333333335,80.96833333333333,33.27625,106.28458333333333,157.01916666666668,193.62333333333333,12.948749999999999,141.70779761904762,True,True,True,True,61,Severe Injury Risk,3,11.834155952380952,True,148180.12681159438
5545.855,106.45916666666666,89.22375,11.045833333333334,134.27,395.2683333333334,478.82,27.099999999999998,194.86255952380952,True,True,True,True,62,Severe Injury Risk,3,13.39725119047619,True,148575.39514492772
1686.7320833333333,10.994583333333333,50.23833333333334,4.627916666666667,67.61,117.24083333333333,135.245,7.855416666666667,205.89053571428573,True,True,True,True,63,High Stress,2,12.117810714285714,True,148692.63597826107
1686.7316666666666,22.6525,48.666666666666664,2.5995833333333334,75.20125,70.90291666666667,86.17958333333333,8.15625,198.0892261904762,True,True,True,True,64,High Stress,2,12.461784523809524,True,148763.53889492774
1006.6433333333333,6.584166666666667,32.47416666666667,4.0874999999999995,38.56375,37.157916666666665,43.93083333333333,4.834583333333334,188.39726190476193,True,True,False,True,65,Mild Stress,1,10.767945238095239,True,148800.69681159442
3377.9137499999997,43.07541666666666,44.65125,47.162499999999994,40.282916666666665,216.88125,279.5491666666667,15.996250000000002,183.06636904761905,True,True,True,True,66,Severe Injury Risk,3,15.16132738095238,True,149017.57806159442
2675.8508333333334,29.109583333333333,53.751666666666665,47.30375,59.72416666666667,203.05499999999998,264.82958333333335,15.99375,171.07505952380956,True,True,True,True,67,Severe Injury Risk,3,15.42150119047619,True,149220.63306159442
3684.997083333333,61.73500000000001,50.17333333333334,46.365,57.7075,246.41750000000002,344.41166666666663,20.9575,183.84625000000003,True,True,True,True,68,Severe Injury Risk,3,16.176925,True,149467.05056159443
3738.960416666667,57.553333333333335,61.51291666666666,52.382083333333334,61.373333333333335,258.045,363.33,21.432083333333335,164.24291666666667,True,True,True,True,69,Severe Injury Risk,3,16.284858333333332,True,149725.09556159444
4153.409583333333,68.84166666666667,55.60833333333333,53.882083333333334,59.84291666666667,306.43916666666667,400.39958333333334,23.580416666666665,191.27125000000004,True,True,True,True,70,Severe Injury Risk,3,17.325425000000003,True,150031.53472826112
4177.887916666667,56.68833333333333,67.06625,63.11666666666667,58.45166666666666,323.2325,405.4791666666667,21.94125,227.31833333333336,True,True,True,True,71,Severe Injury Risk,3,18.546366666666668,True,150354.76722826113
4073.58,58.367916666666666,61.77,53.20041666666666,48.6675,290.11041666666665,372.71125,19.660833333333333,263.45440476190475,True,True,True,True,72,Severe Injury Risk,3,19.769088095238097,True,150644.8776449278
