month,day,day_of_week,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll7,pm2_5_roll14,pm2_5_std7,pm2_5
11,28,5,158.21,136.96,126.38,141.50428571428571,151.26285714285714,22.646848829467565,185.59
11,28,5,185.59,158.21,136.96,150.77285714285716,155.70714285714286,30.486722636958742,197.84
11,28,5,197.84,185.59,158.21,160.2571428571429,158.42285714285714,31.829100790673515,192.49
11,28,5,192.49,197.84,185.59,169.13714285714286,160.07071428571427,28.64719981329508,186.49
11,28,5,186.49,192.49,197.84,176.02857142857144,160.46142857142857,21.577064542836016,174.62
11,28,5,174.62,186.49,192.49,172.21428571428575,155.53142857142856,30.250974010293042,110.26
11,28,5,110.26,174.62,186.49,162.86714285714288,149.675,42.80348650685892,92.78
11,28,5,92.78,110.26,174.62,150.1942857142857,145.8492857142857,47.795739648753475,96.88
11,28,5,96.88,92.78,110.26,142.00714285714287,146.39000000000001,42.935369147237104,140.53
11,28,5,140.53,96.88,92.78,143.6814285714286,151.96928571428572,45.390398187491634,204.21
11,28,5,204.21,140.53,96.88,152.9157142857143,161.02642857142857,59.82954533704975,251.13
11,28,5,251.13,204.21,140.53,171.67714285714285,173.85285714285715,83.62807058922373,305.95
11,28,5,305.95,251.13,204.21,206.14000000000001,189.17714285714285,101.82689559574456,351.5
11,28,5,351.5,305.95,251.13,241.72285714285712,202.29500000000002,99.09486258366871,341.86
11,28,5,341.86,351.5,305.95,268.4657142857143,209.33,76.07798868204101,284.08
11,28,5,284.08,341.86,351.5,287.65714285714284,214.83214285714286,51.352464307725214,274.87
11,28,5,274.87,284.08,341.86,294.01142857142855,218.8464285714286,41.01793812003537,248.69
11,28,5,248.69,274.87,284.08,286.9557142857143,219.93571428571428,52.31562126718396,201.74
11,28,5,201.74,248.69,274.87,267.83,219.75357142857143,66.7069951354429,172.07
11,28,5,172.07,201.74,248.69,240.0157142857143,223.07785714285714,66.59640852607166,156.8
11,28,5,156.8,172.07,201.74,211.9585714285714,226.84071428571428,57.25468173828563,145.46
11,28,5,145.46,156.8,172.07,191.13714285714286,229.8014285714286,52.9992678296237,138.33
11,29,6,138.33,145.46,156.8,171.08285714285716,229.36999999999998,41.30379551336072,134.49
11,29,6,134.49,138.33,145.46,156.24142857142857,225.12642857142856,23.67159016526715,144.8
11,29,6,144.8,134.49,138.33,152.54142857142855,219.74857142857144,16.228673624761786,175.84
11,29,6,175.84,144.8,134.49,157.26142857142858,212.54571428571427,25.18716566598366,205.11
11,29,6,205.11,175.84,144.8,167.6857142857143,203.85071428571428,37.19986507912031,229.77
11,29,6,229.77,205.11,175.84,183.87857142857143,197.91857142857143,48.78041356547771,258.81
11,29,6,258.81,229.77,205.11,203.71428571428572,197.4257142857143,55.00525394818896,277.18
11,29,6,277.18,258.81,229.77,206.25285714285715,188.66785714285714,51.58148754294367,152.26
11,29,6,152.26,277.18,258.81,204.60714285714286,180.42428571428573,53.99618002361697,133.28
11,29,6,133.28,152.26,277.18,198.2357142857143,175.38857142857142,60.22810552589289,131.24
11,29,6,131.24,133.28,152.26,195.73714285714286,176.49928571428572,60.25817474674717,187.62
11,29,6,187.62,131.24,133.28,202.18428571428572,184.935,66.58809799985347,274.9
11,29,6,274.9,187.62,131.24,213.33714285714285,198.60785714285717,82.33023861544545,336.88
11,29,6,336.88,274.9,187.62,231.52142857142854,217.6178571428571,108.63608216250734,404.47
11,29,6,404.47,336.88,274.9,278.10571428571427,242.17928571428573,135.56184933541624,478.35
11,29,6,478.35,404.47,336.88,334.0357142857143,269.32142857142856,146.19825863727456,524.79
11,29,6,524.79,478.35,404.47,395.07000000000005,296.65285714285716,136.2696055619154,558.48
11,29,6,558.48,524.79,478.35,452.9685714285714,324.3528571428572,118.36094758950571,592.91
11,29,6,592.91,558.48,524.79,497.44571428571425,349.815,96.83424615584836,586.24
11,29,6,586.24,592.91,558.48,523.5914285714285,368.4642857142857,66.079352657385,519.9
11,29,6,519.9,586.24,592.91,532.0785714285714,381.8,50.116869890477574,463.88
11,29,6,463.88,519.9,586.24,523.6542857142857,400.88,63.754257859676365,419.38
11,29,6,419.38,463.88,519.9,502.6242857142857,418.33,84.28939550879522,377.58
11,29,6,377.58,419.38,463.88,470.9842857142857,433.02714285714285,99.94342497252188,337.0
11,30,0,337.0,377.58,419.38,429.6557142857143,441.3121428571429,100.93235785368726,303.61
11,30,0,303.61,337.0,377.58,385.7814285714286,441.6135714285714,87.36106806973999,279.12
11,30,0,279.12,303.61,337.0,359.87142857142857,441.7314285714286,64.98377603386156,338.53
11,30,0,338.53,279.12,303.61,349.8542857142857,440.96642857142854,49.94262903810861,393.76
11,30,0,393.76,338.53,279.12,348.0257142857143,435.84000000000003,47.1277928817465,406.58
11,30,0,406.58,393.76,338.53,356.1242857142857,429.3742857142857,56.908824991426364,434.27
11,30,0,434.27,406.58,393.76,373.7357142857142,422.36,67.99904873284225,460.28
11,30,0,460.28,434.27,406.58,358.4271428571428,394.0414285714285,93.64415442056641,196.45
11,30,0,196.45,460.28,434.27,342.18571428571425,363.9835714285714,116.70986260197321,165.43
11,30,0,165.43,196.45,460.28,316.51000000000005,338.1907142857143,135.8488203850149,158.8
11,30,0,158.8,165.43,196.45,291.9542857142857,320.9042857142857,135.091140451813,221.87
11,30,0,221.87,158.8,165.43,280.53714285714284,314.28142857142853,126.91905001670513,326.66
11,30,0,326.66,221.87,158.8,276.06428571428575,316.0942857142857,121.01252756872518,402.96
11,30,0,402.96,326.66,221.87,279.3542857142857,326.545,127.01953850453403,483.31
11,30,0,483.31,402.96,326.66,331.81,345.11857142857144,158.89609393143274,563.64
11,30,0,563.64,483.31,402.96,395.8057142857143,368.9957142857143,170.50428908164778,613.4
11,30,0,613.4,563.64,483.31,466.9085714285714,391.70928571428567,158.5566101248564,656.52
11,30,0,656.52,613.4,563.64,535.6885714285714,413.82142857142856,137.58486065317058,703.33
11,30,0,703.33,656.52,613.4,584.6571428571428,432.5971428571429,108.77240561746119,669.44
11,30,0,669.44,703.33,656.52,606.7185714285715,441.39142857142855,76.71518350986558,557.39
11,30,0,557.39,669.44,703.33,605.6242857142857,442.48928571428576,78.79533506859019,475.65
11,30,0,475.65,557.39,669.44,585.9971428571428,458.90357142857147,104.05776436100044,426.25
11,30,0,426.25,475.65,557.39,554.1642857142857,474.985,126.03944222043381,390.57
11,30,0,390.57,426.25,475.65,512.03,489.4692857142857,135.0929153089334,361.58
12,1,1,361.58,390.57,426.25,459.8514285714286,497.77,118.39570930127653,338.08
12,1,1,338.08,361.58,390.57,411.1757142857142,497.9164285714286,82.4527064154846,328.71
12,1,1,328.71,338.08,361.58,386.95142857142855,496.83500000000004,51.39690763349208,387.82
12,1,1,387.82,328.71,338.08,381.61857142857144,493.62142857142857,41.677473303361175,438.32
12,1,1,438.32,387.82,328.71,385.6714285714285,485.8342857142857,47.68706198700422,454.62
12,1,1,454.62,438.32,387.82,399.35714285714283,476.76071428571424,61.168415246837355,486.37
12,1,1,486.37,454.62,438.32,423.4357142857143,467.73285714285714,75.34966774028551,530.13
12,1,1,530.13,486.37,454.62,418.5357142857143,439.19357142857143,82.59263140198863,303.78
12,1,1,303.78,530.13,486.37,408.0285714285714,409.60214285714284,98.97762481634781,255.16
12,1,1,255.16,303.78,530.13,386.90142857142854,386.9264285714285,117.97151597293465,239.93
12,1,1,239.93,255.16,303.78,369.0657142857143,375.34214285714285,118.33933395919024,313.47
12,1,1,313.47,239.93,255.16,365.7085714285714,375.69,115.81414240477015,431.12
12,1,1,431.12,313.47,239.93,369.48,384.41857142857145,120.72407326903225,512.77
12,1,1,512.77,431.12,313.47,380.19571428571425,401.8157142857143,139.265477040213,605.14
12,1,1,605.14,512.77,431.12,436.85,427.6928571428572,178.21667075033506,700.36
12,1,1,700.36,605.14,512.77,507.9214285714285,457.975,192.32513905957725,752.66
12,1,1,752.66,700.36,605.14,585.2142857142857,486.05785714285713,174.57378190487668,780.98
12,1,1,780.98,752.66,700.36,657.0342857142857,513.05,145.06510513756047,816.21
12,1,1,816.21,780.98,752.66,708.4957142857144,537.1021428571429,111.60107867715627,791.35
12,1,1,791.35,816.21,780.98,736.4428571428572,552.9614285714285,71.82497121806773,708.4
